               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05895,            0.042656,            0.086838,            0.014705,             0.99643,            0.035618,            0.019558,            0.038012,            0.024927,            0.087318,            0.067635,          0.00032692,          0.00032692
                   1,            0.031115,            0.020269,            0.085493,            0.022638,                   1,            0.053631,            0.037725,            0.020036,            0.016268,            0.084624,            0.034622,          0.00064718,          0.00064718
                   2,            0.024943,            0.016469,             0.08475,            0.025293,                   1,             0.07353,             0.06372,            0.013717,            0.012487,            0.083797,           0.0015953,          0.00095424,          0.00095424
                   3,            0.021757,            0.015291,            0.084332,            0.029239,                   1,            0.094106,            0.082759,            0.012252,            0.010563,            0.082804,           0.0009406,           0.0009406,           0.0009406
                   4,            0.019728,            0.013917,             0.08355,            0.049083,             0.85197,            0.093879,            0.083525,           0.0092081,           0.0094085,            0.079765,           0.0009406,           0.0009406,           0.0009406
                   5,            0.018119,            0.013222,            0.080648,              0.1773,              0.6732,             0.11274,             0.10199,            0.010177,            0.008435,            0.074294,           0.0009208,           0.0009208,           0.0009208
                   6,            0.017384,            0.012358,            0.076794,            0.086299,             0.92301,             0.16067,              0.1399,            0.011865,            0.010276,            0.070718,            0.000901,            0.000901,            0.000901
                   7,            0.016986,            0.012655,            0.073955,            0.095328,             0.85302,             0.15959,             0.14121,            0.010465,           0.0084113,            0.068861,           0.0008812,           0.0008812,           0.0008812
                   8,            0.015704,            0.012211,            0.071919,             0.17389,             0.62732,             0.20655,             0.19015,           0.0078567,           0.0072366,             0.06694,           0.0008614,           0.0008614,           0.0008614
                   9,            0.015185,            0.011748,             0.07022,             0.16627,             0.73114,             0.24762,             0.22779,           0.0082288,           0.0075296,            0.063718,           0.0008416,           0.0008416,           0.0008416
                  10,            0.015117,            0.011747,            0.068388,             0.28789,             0.68443,              0.2822,             0.24729,           0.0084877,           0.0076758,            0.061846,           0.0008218,           0.0008218,           0.0008218
                  11,            0.014405,            0.011259,            0.067825,             0.22526,             0.64411,             0.37091,             0.35028,           0.0073316,           0.0070842,            0.058496,            0.000802,            0.000802,            0.000802
                  12,            0.014379,            0.011199,            0.065605,             0.37083,             0.66309,             0.49174,             0.45907,           0.0075892,           0.0074722,            0.053907,           0.0007822,           0.0007822,           0.0007822
                  13,             0.01437,            0.011224,            0.062483,             0.37415,             0.74459,             0.51643,             0.47295,           0.0082346,           0.0079506,            0.050616,           0.0007624,           0.0007624,           0.0007624
                  14,            0.014019,            0.011356,            0.059445,             0.52691,             0.69908,             0.66574,             0.61801,           0.0078988,           0.0073826,            0.043647,           0.0007426,           0.0007426,           0.0007426
                  15,            0.014185,            0.011109,            0.056098,             0.58606,             0.71282,             0.75435,             0.70069,           0.0077986,           0.0080395,            0.038212,           0.0007228,           0.0007228,           0.0007228
                  16,            0.014025,            0.011378,            0.052434,             0.76749,             0.71125,             0.81207,             0.75988,           0.0076054,            0.007637,            0.033011,            0.000703,            0.000703,            0.000703
                  17,            0.013949,            0.010946,            0.049481,              0.7707,             0.79436,             0.87318,             0.80371,           0.0084547,           0.0078438,            0.027354,           0.0006832,           0.0006832,           0.0006832
                  18,            0.014159,            0.011366,            0.045697,             0.84389,             0.85292,             0.93144,             0.86892,           0.0082536,           0.0072722,            0.021987,           0.0006634,           0.0006634,           0.0006634
                  19,            0.013886,            0.010963,            0.042638,             0.86805,             0.90315,             0.94954,             0.89659,           0.0075377,            0.007243,            0.019222,           0.0006436,           0.0006436,           0.0006436
                  20,            0.013312,            0.010635,            0.039802,             0.87293,             0.90085,             0.95576,             0.90086,           0.0080844,           0.0073771,            0.017279,           0.0006238,           0.0006238,           0.0006238
                  21,            0.013328,            0.010583,            0.037609,             0.93531,             0.95167,             0.97887,             0.92654,           0.0075794,           0.0069841,            0.013077,            0.000604,            0.000604,            0.000604
                  22,            0.013657,            0.010537,            0.036557,             0.96783,             0.96229,             0.99013,             0.91532,           0.0083872,           0.0078913,            0.011305,           0.0005842,           0.0005842,           0.0005842
                  23,            0.013241,            0.010627,            0.034167,             0.98343,             0.98624,             0.99433,             0.96865,           0.0063578,           0.0063365,           0.0086498,           0.0005644,           0.0005644,           0.0005644
                  24,            0.012923,            0.010574,            0.033149,             0.97832,             0.97828,             0.99356,             0.94267,            0.007414,           0.0074615,            0.007604,           0.0005446,           0.0005446,           0.0005446
                  25,            0.013185,            0.010567,             0.03252,             0.98474,             0.98582,             0.99388,             0.95873,           0.0071044,            0.006649,           0.0072662,           0.0005248,           0.0005248,           0.0005248
                  26,            0.012406,            0.010092,            0.031023,              0.9794,             0.98515,             0.99354,             0.95861,           0.0066732,           0.0066632,           0.0068911,            0.000505,            0.000505,            0.000505
                  27,            0.012487,            0.010238,            0.029819,             0.98847,             0.99004,             0.99451,               0.958,           0.0065844,           0.0062154,           0.0052823,           0.0004852,           0.0004852,           0.0004852
                  28,            0.012339,            0.010016,            0.029272,             0.98734,             0.99282,             0.99451,             0.97362,           0.0062515,           0.0063101,           0.0048819,           0.0004654,           0.0004654,           0.0004654
                  29,            0.012111,            0.010149,            0.028268,             0.99563,             0.99541,             0.99488,             0.97298,           0.0062444,           0.0062811,           0.0040689,           0.0004456,           0.0004456,           0.0004456
                  30,            0.011981,            0.010028,            0.028063,             0.99329,             0.99561,             0.99495,             0.98036,           0.0061649,           0.0067212,           0.0039351,           0.0004258,           0.0004258,           0.0004258
